,date,headlines,ticker,company
898,2023-10-18,"NHPC says expected loss/ damage due to Sikkim flood at Rs 233.6 cr, and it’s covered under insurance",NHPC,NHPC Limited
899,2023-10-18,"Heritage Foods reports #Q2 earnings

▶️ Net profit up 18% at ₹22.4 cr vs ₹19 cr (YoY)

▶️ Revenue up 20% at ₹979 cr vs ₹816 cr (YoY)

▶️ EBITDA up 18% at ₹47 cr vs ₹40 cr (YoY)

▶️ Margin at 4.8% vs 4.9% (YoY)",Foods & Inns Limited,EQ
900,2023-10-18,Supreme Court dismisses Jindal Steel's plea to bid for Odisha Coal Mine,Coal India Limited,EQ
901,2023-10-18,Bajaj Auto board adopts the revised Dividend Distribution Policy,Bajaj Auto Limited,EQ
902,2023-10-20,"Zomato #BlockDeal | 9.3 cr shares (1.09% equity) worth Rs 1,040.5 cr change hands at Rs 111.20/sh",Zomato Limited,EQ
903,2023-10-20,Cyient signs MoU with Centre Of Excellence In Maritime & Shipbuilding,Cyient Limited,EQ
907,2023-10-25,ION Mobility and TVS Motor announce collaboration via project Dynamo in Indonesia,ION Exchange (India) Limited,EQ
908,2023-10-25,Varun beverages falls the most in last 4 months,Varun Beverages Limited,EQ
910,2023-10-25,"TV18 Q2
⭕️Cons loss at Rs 28.9 cr vs profit of Rs 5.7 cr (YoY)
Cons revenue up 22% at Rs 1,794 cr Vs Rs 1,473.3 cr (YoY)
⭕️Cons EBITDA loss at Rs 198 cr Vs EBITDA of Rs 40.6 cr (YoY)

⭕️News revenue up 20% & entertainment rev up 22% YoY
⭕️Subscription revenue up 12% YoY
⭕️News segment reports EBITDA of Rs 10 cr Vs Rs 5 cr loss (YoY)",TV18 Broadcast Limited,EQ
913,2023-11-13,"#MarkMobius to step back from Mobius Capital Partners, plans to work on news projects in Dubai",Capital Trust Limited,EQ
914,2023-11-13,Swan Energy sees a change of hands for 1.2% equity,Energy Development Company Limited,EQ
915,2023-11-13,"Lemon Tree Hotels to CNBC-TV18
⭕️Adjusted margin for Q2 at 47.5%, Q3 occupancy will be closer to 75%
⭕️Will re-price once occupancy level touches 75%
⭕️Debt has peaked for co, will see QoQ debt reduction from Q4",Lemon Tree Hotels Limited,EQ
916,2023-11-13,"Page Ind under pressure

Morgan Stanley though is positive on the stock, expects share price to rise over next 60 days. It says management is confident that it has not lost any retail shelf space and distributor-level inventory levels have reduced, which should support future growth",Page Industries Limited,EQ
917,2023-11-13,UK PM Rishi Sunak sacks Suella Braverman as Home Secretary,Home First Finance Company India Limited,EQ
918,2023-11-13,"#MarketAtClose | Page Ind erases all the gains seen after its earnings, falls over 3%

REC & PFC extends Samvat 2079 gains, rises in the range of 1-3%

Glenmark Pharma’s below-than-expected Q2 drags the stock, down 5%

Market breadth favours declines, advance-decline ratio at 2:3",PFC,Power Finance Corporation Limited
919,2023-11-13,"#MarketAtClose | Sun TV Rises 3% & Hind Copper 7% after healthy set of earnings

AU Small Fin Bank moves 3% higher on positive brokerage note

Trent continues to move higher after a strong Q2, is at record high",AU Small Finance Bank Limited,EQ
920,2023-11-13,"#MarketAtClose | Market closes in the red following a range-bound session

Sensex slips 326 points to 64,934 & Nifty 82 points to 19,444

Nifty Bank Slips 105 Pts To 43,891 While Midcap Index Rises 27 Pts To 41,010

Coal India rises to 8-year high after a strong Q2",Bank of India,EQ
921,2023-11-13,"PVR Inox to open 6 screen multiplex Maison INOX at #Jio World Centre, Mumbai and 4  screen multiplex at Utkal Kanika Galleria Mall, Bhubaneswar, Odisha",PVR,PVR Limited
922,2023-11-13,"Asian Paints: The original installed production capacity of Khandala plant increased to 4,00,000 KL/annum

An investment of Rs. 385 cr funded through internal accruals",Asian Hotels (East) Limited,BE
923,2023-11-20,"#JubilantFood | Ashish Goenka resigns as CFO & KMP of the company w.e.f. December 15, 2023, to take up an external opportunity",Goenka Diamond and Jewels Limited,BZ
924,2023-11-20,"L&T | L&T Energy Hydrocarbon bags #order in the range of ₹10,000-15,000 crore in #MiddleEast",Energy Development Company Limited,EQ
926,2023-11-20,Blue Dart & India Post partner for enhanced services,Bank of India,EQ
929,2023-11-20,"Religare Ent: Rashmi Saluja categorically denies that Burman family informed her of open offer proposal

Liquidating of Rashmi Saluja’s ESOPs was done along with 12 other employees of REL

Shr sale proceeds of rashmi saluja were utilised to invest in ESOPs of Religare Group entity",Religare Enterprises Limited,EQ
930,2023-11-20,"#MarketAtClose | L&T Tech Rises nearly 2% as co partners Nvidia for medical devices

Market breadth favours advances, advance-decline ratio at 1:1",L&T Finance Holdings Limited,EQ
931,2023-11-20,"#MarketAtClose | Nifty Pharma extends gains, hits record high, Divi’s Lab top Nifty gainer

Talbros auto hits record high, up 20% on order win

Cipla ends in the red after US FDA issues warning letter for Indore unit",Cipla Limited,EQ
933,2023-11-20,ABB India forms strategic partnership with Titagarh Rail for Metro Projects in India,ABB,ABB India Limited
934,2023-11-22,"#Israel's government voted to back a deal for #Hamas militants to free 50 women and children held as hostages in Gaza in exchange for a four-day pause in fighting, the office of Israeli Prime Minister Benjamin Netanyahu said",Prime Focus Limited,EQ
936,2023-11-22,Halt #misleading #ads or face up to ₹1-crore fines: Supreme Court to Baba Ramdev’s #Patanjali,Supreme Petrochem Limited,EQ
937,2023-11-22,Polycab up nearly 2% after GS initiates buy call on the company,Polycab India Limited,EQ
938,2023-11-22,Supreme Court directs #NCLT to decide on approval of successful resolution plan of #ACIL within 3 weeks,Supreme Petrochem Limited,EQ
942,2023-11-28,"Indian #auto retailers sell over 90,300 vehicles each day in the #festive season — #SUVs most in demand",Indian Energy Exchange Limited,EQ
943,2023-11-28,BSE Ltd up more than 5% as Jefferies initiates buy call,BSE,BSE Limited
944,2023-11-28,"#JustIN | Promoter sells 1.46 cr (2.91% stake) in co worth ₹301 cr, a substantial portion of proceeds from the sale has been infused back by the promoters into co to retire its entire debt, DB Realty says",DB (International) Stock Brokers Limited,EQ
947,2023-11-28,#iPhone maker #Foxconn plans to #invest $1.6 billion in India expansion bid,Bank of India,EQ
948,2023-11-28,"Talks on with #AdaniGroup on #Tajpur Port project, says Bengal minister

State Minister, Sashi Panja said the project is very much on track amid speculations of Adani Group backing out of the Tajpur Port project post WB CM comments",State Bank of India,EQ
951,2023-11-28,"India's oil refiners #HPCL, #BPCL, Indian Oil hit a 52-week high after #HSBC projects better earnings",Indian Energy Exchange Limited,EQ
952,2023-11-28,"Tata Power Renewable Energy gets letter of award for development for 200 MW Firm & Dispatchable Renewable Energy Project with SJVN

The installation is expected to offset 9 lakh metric tonnes of CO2 emissions annually",SJVN,SJVN Limited
953,2023-11-28,"Siemens board recommends a dividend of Rs 10/sh

Daniel Spindler resigns As CFO of the co w.e.f. Feb 29, 2024 to pursue career opportunities in Siemens AG

Board appoints Wolfgang Wrumnig As ED & CFO of the co for 5 yrs w.e.f. March 1, 2024",Siemens Limited,EQ
954,2023-11-28,"Siemens Q4

Net profit up 49.8% at Rs 571.6 cr vs Rs 381.7 cr (YoY)

Revenue up 24.7% at Rs 5,807.7 cr vs Rs 4,657.1 cr (YoY)

EBITDA up 35.7% at Rs 700.2 cr vs Rs 515.9 cr (YoY)

Margin at 12.1% vs 11.1% (YoY",Siemens Limited,EQ
955,2023-11-29,"Manappuram Fin up 4%, India Gold prices at an all-time high above Rs 62,800/10 gms",Bank of India,EQ
956,2023-11-29,"Bharti Airtel hits record high, share price crosses Rs 1,000 for the time",Bharti Airtel Limited,EQ
957,2023-11-29,New Listing | IREDA lists at a premium of 56% at ₹50 /sh vs issue price of ₹32/sh,New Delhi Television Limited,BE
959,2023-11-29,"A fire occurred at the Surat mfg site today early morning, 25 people have been injured, and no causalities have been reported: Aether Ind says",Aether Industries Limited,EQ
961,2023-11-29,BSE listed cos total market capitalization hits $4 trillion for the 1st time ever,BSE,BSE Limited
962,2023-11-29,"Income Tax demand amount reduced to ₹69.7 lk from ₹401 cr, Munjal Auto",Munjal Auto Industries Limited,EQ
963,2023-11-29,BPCL board approves interim dividend of ₹21/sh for FY24,BPCL,Bharat Petroleum Corporation Limited
964,2023-11-29,"I-T dept conducts survey at Hinduja Group co Hinduja Global Solutions, Mumbai office. Ashok Hinduja covered under the I-T dept survey",Ashok Leyland Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
965,2023-11-29,"Tata Motors hits record high, share price crosses Rs 700 for the first time ever",Tata Motors Limited,EQ
968,2023-11-29,Infosys bags order from Philippines-based Bank of Commerce for core #banking transformation,Infosys Limited,EQ
971,2023-11-29,"MarketAtClose | Newly listed IREDA ends >87% higher, second most successful listing in 2023

BPCL up more than 1% after board approves interim dividend of Rs 21/sh

BSE cos market cap crosses $4 trillion for the first time ever",BPCL,Bharat Petroleum Corporation Limited
975,2023-11-30,"NewListing | #TataTech lists at a premium of 140% at ₹1,200/sh vs issue price of ₹500/sh

Tata Tech becomes the best listing since November 2021

#TataTechnologies",Tech Mahindra Limited,EQ
976,2023-11-30,Rare Enterprises has no interest or connection whatsoever with dealings in HIM Teknoforge. The entity ‘Rare Enterprise’ has no connection with Rare Enterprises or any other Group Firm of the Jhunjhunwala family: Rate Ent says,The Andhra Sugars Limited,EQ
978,2023-12-01,"Kesoram Industries withdraws scheme of demerger of arm Cygnet Industries, approves scheme of arrangement with UltraTech Cement of the demerged company. Demerger of cement biz to unlock value",Kesoram Industries Limited,EQ
979,2023-12-01,"JustIn | Peninsula Land & Delta Corp plan joint venture for real estate, to invest ₹250 Cr in the joint venture",Delta Corp Limited,EQ
980,2023-12-04,"#JustIn | Kalpataru Projects & its international subsidiaries have secured new orders worth ₹ 2,263 cr",Kalpataru Power Transmission Limited,EQ
982,2023-12-04,Som Dstilleries gets approval from Karnataka Excise Department to supply its premium beer brands to Tamil Nadu,Som Distilleries & Breweries Limited,EQ
983,2023-12-04,Som Distilleries gets Karnataka excise department nod for supply of its premium beer brands to Tamil Nadu,Som Distilleries & Breweries Limited,EQ
984,2023-12-04,Thomas Cook shares rally 4% as promoter Fairbridge Capital completes OFS valued at ₹558 cr,Capital Trust Limited,EQ
985,2023-12-04,Bajaj Group becomes fifth conglomerate to breach ₹10 lakh crore in Mcap,Bajaj Auto Limited,EQ
986,2023-12-04,TVS Holdings submits application with RBI for registration of company as Core Investment Company,TVS Electronics Limited,EQ
987,2023-12-04,HCLTech |  Arm to sell 49% stake in JV to State Street for $170 m + net book. The transaction is expected to be completed in the second calendar quarter of 2024,The Andhra Sugars Limited,EQ
988,2023-12-04,"JSW Infrastructure’s arm JSW Dharamtar Port to acquire 50% plus 1 shares of PNP Maritime for Rs 270 crore from SP Port Maintenance, a Shapoorji Pallonji Group Company",JSW Energy Limited,EQ
990,2023-12-04,Bharti Airtel becomes the 8th company to surpass ₹6 lakh crore Mcap,Bharti Airtel Limited,EQ
991,2023-12-08,"Titagarh Rail launches QIP to raise up to ₹700 cr, floor price at ₹976/sh, sources say, indicative issue price is at Rs 933/sh",Rail Vikas Nigam Limited,EQ
992,2023-12-08,"SpiceJet gets relief from dubai court after lessor repossessed aircraft at Al Maktoum International airport

Dubai court has further ordered to pay towards the legal costs incurred by spicejet. No order from dubai court restricting aircraft ops",International Conveyors Limited,EQ
994,2023-12-19,"India shelter allotment out, check now 👇
https://ris.kfintech.com/ipostatus/",Bank of India,EQ
995,2023-12-19,"Nestle sets January 5, 2024 as record date for stock split",Nestle India Limited,EQ
996,2023-12-19,"India Glycols gains 13% on bagging ₹1,164 crore ethanol supply tenders",Bank of India,EQ
998,2023-12-19,"Man Infra gets commencement certificate for its residential project in Ghatkopar East, Mumbai",Man Industries (India) Limited,EQ
999,2023-12-19,Transformers & Rectifiers bags orders worth ₹237 cr for transformers from Power Grid,Power Finance Corporation Limited,EQ
1000,2023-12-19,United Drilling Tools bags order worth ₹96 cr from #ONGC,United Spirits Limited,EQ
1001,2023-12-19,Sanghvi Movers bags work orders worth ₹166 cr,Sanghvi Movers Limited,EQ
1004,2023-12-19,Varun Beverages signs MoU with Jharkhand govt for manufacturing plant in Patratu with a Rs 450 cr outlay,Varun Beverages Limited,EQ
1005,2023-12-19,"RVNL lowest bidder for Varkala Sivagiri Railway Station in Kerala

Project cost for for Varkala Sivagiri Railway Station is Rs 124 cr",RVNL,Rail Vikas Nigam Limited
1009,2023-12-20,"Varun Beverages trading at a record high, stock up more than 10% on South Africa Buyout",South West Pinnacle Exploration Limited,EQ
1010,2023-12-20,"DOMS Industries, the fourth-most subscribed Indian IPO of 2023 lists at a 77% premium",Indian Energy Exchange Limited,EQ
1011,2023-12-21,Ashok Leyland bags order worth ₹501 cr for 552 buses from Tamil Nadu State Transport Corp,Ashok Leyland Limited,EQ
1012,2023-12-21,"Suzlon secures a repeat order of 193.2 MW from The KP Group in Gujarat

#SuzlonEnergy",The Andhra Sugars Limited,EQ
1013,2023-12-21,"Inox India lists at a premium of 44% at ₹950/sh vs issue price of ₹660/sh

#InoxIndia #INOXIPO",Bank of India,EQ
1014,2023-12-21,"Former promoters of #AmiOrganics likely sellers in block deal: @nimeshscnbc Exclusive

As many as 46 lakh shares or 12.5% equity of Ami Organics, worth ₹475.2 crore, changed hands for ₹1,013/Sh",Ami Organics Limited,EQ
1015,2023-12-21,Macquarie retains UNDERPERFORM call on United Spirits with a target of ₹810/sh. It says dealer checks reaffirm muted demand commentary,United Spirits Limited,EQ
1016,2023-12-21,SBI to sign €200 m Line Of Credit from European Invst Bank for climate action projects in India,Bank of India,EQ
1018,2023-12-21,Airtel partners with #IntelliSmart for powering up to 20 million smart meters,20 Microns Limited,EQ
1020,2023-12-21,"ZeeEnt gains on hopes of Sony deal deadline extension, closes 3% higher

👉City Union Bank falls nearly 5% on an expectation of below-than-expected Q3

👉#PVR falls nearly 3% from day’s high on review of new movie releases",Union Bank of India,EQ
1021,2023-12-21,Madras Fertilizers: Operations resumed at plant that was shutdown from Dec 4 due to  cyclone Michaung,Madras Fertilizers Limited,EQ
1023,2023-12-21,"Former Supreme Court Judge Justice Madan Lokur says there have been instances in the past but 140 suspensions is a huge number

#Parliament is not a place for fight, it is to reconcile

None of the possibilities were explored except suspension",Supreme Petrochem Limited,EQ
1028,2024-01-05,"#HDFCBank Q3 business update: Gross advances grow 62.4%, retail loans 111% up

HDFC Bank stock trading at the day's low, down 0.5%",HDFC Bank Limited,EQ
1029,2024-01-05,KPI Green arm bags order of 3 MW solar power plant under captive power producer segment,KPI Green Energy Limited,EQ
1030,2024-01-05,#Siemens promoter Siemens Energy creates pledge on 5% equity with Deutsche Bank to fulfil the guarantee agreement,Energy Development Company Limited,EQ
1031,2024-01-05,Suzlon Energy secures order for 225 MW for it’s 3 MW series from Everrenew Energy,Energy Development Company Limited,EQ
1032,2024-01-05,NTPC gets GST demand order worth ₹100.8 Cr from 7 states,NTPC,NTPC Limited
1034,2024-01-05,GAIL (@gailindia) & Vital Asia sign #LNG deal for 1 mtpa LNG for 10 years starting 2026,GAIL,GAIL (India) Limited
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1036,2024-01-05,Tata Motors arm launches e-vehicle platform 'acti.ev',Tata Motors Limited,EQ
1037,2024-01-05,Kaveri seed board approves share buyback up to ₹ 325 cr via tender route at ₹ 725/sh,Kaveri Seed Company Limited,EQ
1040,2024-01-05,"Supriya Lifescience’s manufacturing site in Lote Parshuram has received Good Manufacturing Practice (GMP) certificate from the Regulatory Authority of Brazil, ANVISA",Supriya Lifescience Limited,EQ
1041,2024-01-05,"#MarketAtClose | Shree Cement sees a fall 5% on I-T dept’s tax demand report

#HAL hits record high, market cap crosses ₹ 2 lk cr after UBS initiates buy call

#NHPC & Pwr Grid rise while NTPC, NLC fall on CERC Power Tariff draft

Market Breadth favours advances, Advance-Decline Ratio At 1:",NLC India Limited,EQ
1043,2024-01-05,"Godrej Industries signs Non-binding MoU with the Government of Gujarat

The company may plan to invest Rs 600 cr over the next 4 years",The Andhra Sugars Limited,EQ
1045,2024-01-07,"Shyam Metalics: QIP issue closed on Jan 5

Allotted 2.41 cr at Rs 576/sh via QIP",Shyam Century Ferrous Limited,EQ
1046,2024-01-07,"Shree Cement: We have not received any communication from the Income Tax Department in this regard. 

As such, we are not in a position to comment on the veracity of subject media report. Further, the contents of the news item are speculative and devoid of merit",Shree Rama Newsprint Limited,EQ
1047,2024-01-07,JK Cement's subsidiary JK Maxx Paints completes  acquisition of the remaining 20% stake in Acro Paints for Rs 53.3 cr,JK Cement Limited,EQ
1048,2024-01-07,NTPC gets tax demand order of Rs 41.8 cr from Bihar GST dept,NTPC,NTPC Limited
1049,2024-01-07,"According to the market regulator, all classes of investors like retail and institutional investors are permitted to short sell. However, the market regulator reiterated that naked short selling shall not be permitted in the Indian securities market",Indian Energy Exchange Limited,EQ
1050,2024-01-10,Manappuram Fin In Focus | SEBI puts IPO of Asirvad Microfinance in abeyance,Focus Lighting and Fixtures Limited,EQ
1051,2024-01-10,"Puravankara reports Q3 Update |

➡️Sales value up 56% YoY at ₹1,241 cr vs ₹796 cr (YoY)
➡️Customer collections up 52% YoY at ₹941 cr vs ₹621 cr (YoY)

#Puravankara #Q3 #PuravankaraQ3",Puravankara Limited,EQ
1053,2024-01-10,"Manappuram in focus
Sources say the query from SEBI w.r.t Asirvad MFI IPO is common for an IPO. 3 queries were raised, 2 have already been responded to and resolved",Manappuram Finance Limited,EQ
1054,2024-01-10,Shakti Pumps gets 10th patent for a surface helical pump construction with collinear flow,Shakti Pumps (India) Limited,EQ
1056,2024-01-10,Aurionpro board approves fund raise  of up to ₹650 cr,Aurionpro Solutions Limited,EQ
1057,2024-01-12,"CONCOR in focus
Domestic volumes see a fall of 1.2% while EXIM volumes have risen 8% YoY

Note: In Q2, domestic volumes were up 26% YoY",CONCOR,Container Corporation of India Limited
1058,2024-01-12,Oil mktg cos in focus as crude sees a sharp uptick. #brent back to $80/bbl,Oil India Limited,EQ
1060,2024-01-12,"Venus Remedies gets new marketing authorisations for Docetaxel & Gemcitabine from Malta, Europe",Venus Pipes & Tubes Limited,EQ
1061,2024-01-12,Godrej Cons says overall impact of Argenta currency devaluation on profitability remains minimal,Godrej Agrovet Limited,EQ
1063,2024-01-12,Cyient signs MoU with #Japan-based eVTOL Aircraft manufacturer #SkyDrive,Cyient Limited,EQ
1064,2024-01-15,Reliance Ind says its subsidiary REC Solar Holdings to sell REC Solar Norway to Elkem ASA for $22 million,Reliance Communications Limited,BE
1065,2024-01-15,#JSWEnergy arm commissions Unit-1 with 350 MW capacity of its Thermal Power Plant in Odisha,Power Finance Corporation Limited,EQ
1066,2024-01-15,"If #RedSea remains a space of tension, then we will feed into #inflation ,expectations of the #Fed cutting rates will reduce if inflation increases, says Arvind Sanger of Geosphere Capital Management",Arvind Limited,EQ
1068,2024-01-15,Man Industries gets new orders of approx. 400 Crore,Man Industries (India) Limited,EQ
1069,2024-01-15,"Mahindra Group & Ontario Teachers’ Pension to launch ₹2,262 cr Infra Invst Trust",Mahindra & Mahindra Limited,EQ
1070,2024-01-15,"DroneAcharya Aerial bags order from Indian Army, Ministry of Defence",Indian Energy Exchange Limited,EQ
1073,2024-01-15,Titagarh Rail launches indigenous 25T bollard pull tug for Indian Navy,Indian Energy Exchange Limited,EQ
1074,2024-01-15,"PCBL reports #Q3 earnings

- Net profit up 52.6% at ₹148 cr vs ₹97 cr (YoY)

- Revenue up 21.5% at ₹1,656.8 cr vs ₹1,363.3 cr (YoY)

- EBITDA up 70.9% at ₹279.1 cr vs ₹163.3 cr (YoY)

- Margin at 16.9% vs 12% (YoY)",PCBL,PCBL LIMITED
1075,2024-01-15,"Antony Waste Q3 Update
Total waste handled at 1.17 mt, up 12% YoY, Core operating revenue up 25% YoY
Sales volume of compost is softer than expected
Compost sales volume soft on lower fertiliser offtake in Guj & Maharashtra",Antony Waste Handling Cell Limited,EQ
1076,2024-01-15,"NELCO reports Q3 earnings

- Cons net profit up 23% at ₹6.1 cr vs 5 cr (YoY)

- Revenue up12% at ₹183 cr vs ₹74 cr (YoY)

- EBITDA up 6.4% at ₹16 cr vs ₹15 cr (YoY)

- Margin at 19.5% vs 20.5% (YoY)",NELCO,NELCO Limited
1077,2024-01-15,"NTPC, CESC in focus
Govt releases draft notification of Electricity (Amendment) Rules, 2024. Licence conditions eased for power generation companies. There won’t be any need to obtain transmission line license for grid connection",CESC,CESC Limited
1078,2024-01-15,#Pidilite forms technical collaboration with Italy-based Syn-Bios to transform South Asia’s leather chemical landscape,South West Pinnacle Exploration Limited,EQ
1079,2024-01-15,Sarda Energy gets contract worth ₹150 crore for installation of 50 MW DC solar power plant in Chhattisgarh,Energy Development Company Limited,EQ
1080,2024-01-15,"Shakti Pumps to consider fund raising via QIPs on January 18, 2024",Shakti Pumps (India) Limited,EQ
1082,2024-01-15,"Angel One reports #Q3 earnings

- Net profit up 14.2% at ₹260.3 cr vs ₹228 cr (YoY)

- Revenue up 41.5% at ₹1,059 cr vs ₹748.6 cr (YoY)

= EBITDA up 22.7% at ₹397.9 cr vs ₹324.3 cr (YoY)

- Margin at 37.6% vs 43.3% (YoY)",Angel One Limited,EQ
1083,2024-01-15,"PNC Infratech to sell 12 SPVs to Highway Infrastructure Trust for enterprise value of ₹9,005.7 crore",PNC,Pritish Nandy Communications Limited
1085,2024-01-15,"Jio Financial Services reports Q3 earnings

- Total Income Ex-dividend Income At ₹413.6 Cr Vs ₹391 Cr (QoQ)

- Interest Income At ₹269 Cr Vs ₹186 Cr (QoQ)

- Profit Ex-associates & JVs At ₹227 Cr Vs ₹233 Cr (QoQ)",Total Transport Systems Limited,EQ
1086,2024-01-16,"Vedanta in focus
S&P upgrades Vedanta Resources, citing a more ""manageable"" debt maturity profile after a recent debt restructuring",Vedanta Limited,EQ
1087,2024-01-16,Jyoti CNC lists at an 11% premium of ₹370/sh vs issue price of ₹331/sh,Jyoti Structures Limited,BZ
1088,2024-01-16,Jyoti CNC lists at an 11% premium of ₹370/sh vs issue price of ₹331/sh,Jyoti Structures Limited,BZ
1091,2024-01-16,"L&T Construction bags order in the range of ₹10,000-15,000 cr to build Electrification System Works for The Mumbai Ahmedabad High-Speed Rail Project",The Andhra Sugars Limited,EQ
1092,2024-01-16,"Adani Green Q3 solar energy sales down 2%, wind energy sale up 69% YoY",Adani Green Energy Limited,EQ
1092,2024-01-16,"Adani Green Q3 solar energy sales down 2%, wind energy sale up 69% YoY",Adani Green Energy Limited,EQ
1092,2024-01-16,"Adani Green Q3 solar energy sales down 2%, wind energy sale up 69% YoY",Adani Green Energy Limited,EQ
1092,2024-01-16,"Adani Green Q3 solar energy sales down 2%, wind energy sale up 69% YoY",Adani Green Energy Limited,EQ
1092,2024-01-16,"Adani Green Q3 solar energy sales down 2%, wind energy sale up 69% YoY",Adani Green Energy Limited,EQ
1092,2024-01-16,"Adani Green Q3 solar energy sales down 2%, wind energy sale up 69% YoY",Adani Green Energy Limited,EQ
1092,2024-01-16,"Adani Green Q3 solar energy sales down 2%, wind energy sale up 69% YoY",Adani Green Energy Limited,EQ
1093,2024-01-16,NBCC bags orders of ₹139 cr for construction works,NBCC,NBCC (India) Limited
1096,2024-01-16,Kotak Mah Bank to consider fund raise via #debentures on Jan 20,20 Microns Limited,EQ
1100,2024-02-01,"#BudgetWithCNBCTV18 | Ayushman Bharat Scheme will be extended to all Asha, Anganwadi Workers, says Finance Minister @nsitharaman",Bharat Bijlee Limited,EQ
1102,2024-02-03,"Dalmia Bharat Sugar reports #Q3 earnings👇

➡️Net Profit flat at ₹64.9 cr (YoY)
➡️Revenue down 2.7% at ₹583.6 cr vs ₹600 cr (YoY)
➡️EBITDA down 2.8% at ₹109.3 cr vs ₹112.5 cr (YoY)
➡️Margin at 18.7% vs 18.8% (YoY)",Bharat Bijlee Limited,EQ
1103,2024-02-03,"Bank of India reports #Q3 earnings👇

➡️Net Profit up 62.4% at ₹1,869.5 cr vs ₹1,151 cr (YoY)
➡️NII down 2.4% at ₹5,463.5 cr vs ₹5,595.1 cr (YoY)
➡️Net NPA at 1.41% vs 1.54% (QoQ)
➡️Gross NPA at 5.35% vs 5.84% (QoQ)
➡️Net NPA at ₹7,627.2 cr vs ₹7,978.3 cr (QoQ)
➡️Gross NPA at ₹30,237.2 cr vs ₹31,718.8 cr (QoQ)",Bank of India,EQ
1105,2024-02-03,"JSW Infrastructure Q3 earnings👇

➡️Net Profit at ₹250.7 cr vs ₹114.9 cr (YoY)
➡️Revenue up 17.9% at ₹940.1 cr vs ₹797.7 cr (YoY)
➡️EBITDA up 27.7% at ₹479.9 cr vs ₹375.7 cr (YoY)
➡️Margin at 51% vs 47.1% (YoY)",JSW Energy Limited,EQ
1106,2024-02-03,"Century Ply Q3 earnings👇

➡️Net Profit down 23% at ₹63 cr vs ₹82 cr (YoY)
➡️Revenue up 6% at  ₹937 cr vs ₹883 cr (YoY)
➡️EBITDA down 17% at ₹105 cr vs ₹127 cr (YoY)
➡️Margin at 11.2% vs 14.4% (YoY)",Century Enka Limited,EQ
1108,2024-02-03,"HIL reports its Q3 earnings👇

>>Net loss at ₹7 cr Vs profit of ₹12.5 cr (YoY)

>>Revenue up 2% at ₹784 cr Vs ₹767 cr (YoY)

>>EBITDA down 66% at ₹17 cr Vs ₹50 cr (YoY)

>>Margin at 2.2% Vs 6.5% (YoY)",HIL,HIL Limited
